,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
4246,35.0,4.3,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,20002.51970554516
4247,32.0,4.2,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,38,20002.51970554516
4248,31.0,4.6,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,21,20002.51970554516
4249,26.0,4.9,Stormy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,24,20002.51970554422
4250,22.0,4.3,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,39,20002.51970554422
4251,21.0,4.3,Windy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,34,20002.51970554422
4252,33.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Urban,47,20002.51970554422
4253,29.0,4.6,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,24,20002.51970554422
4254,22.0,4.6,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,18,20002.51970554422
4255,22.0,4.6,Cloudy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.51970554422
4256,25.0,4.6,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.51970554422
4257,28.0,4.6,Sandstorms,Medium,1,Snack,scooter,0.0,No,Metropolitian,16,20002.519700318928
4258,34.0,4.9,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,31,20002.519700318928
4259,20.0,4.6,Windy,Low,2,Snack,electric_scooter,0.0,No,Urban,14,20002.519700318928
4260,20.0,4.8,Sunny,Medium,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.519700318928
4261,22.0,4.9,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,16,20002.519700318928
4262,28.0,4.8,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,23,20002.519700318928
4263,38.0,4.9,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.519700318928
4264,37.0,4.5,Stormy,Low,1,Meal,scooter,0.0,No,Metropolitian,27,20002.519700318928
4265,33.0,4.9,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,23,20002.51970031767
4266,21.0,4.8,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,39,20002.51970031767
4267,39.0,4.9,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Urban,18,20002.51970031767
4268,26.0,4.7,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,16,20002.51970031767
4269,30.0,4.5,Fog,Medium,2,Snack,motorcycle,,No,Metropolitian,17,20002.51970031767
4270,30.0,4.8,Cloudy,High,1,Snack,scooter,0.0,No,Urban,25,20002.51970031767
4271,23.0,4.6,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,26,20002.51970031767
4272,27.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,,Urban,10,20002.51970031767
4273,23.0,5.0,Windy,Low,2,Meal,motorcycle,1.0,No,Urban,13,20002.51970031767
4274,29.0,4.2,Sunny,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,47,20002.51970031767
4275,20.0,5.0,Stormy,Low,0,Snack,motorcycle,0.0,No,Urban,20,20002.51970031689
4276,24.0,4.0,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,21,20002.51970031689
4277,21.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,Metropolitian,18,20002.51970031689
4278,31.0,4.3,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,33,20002.51970031689
4279,39.0,4.9,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.51970031689
4280,23.0,5.0,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,15,20002.51970031689
4281,27.0,4.9,Stormy,High,1,Drinks,motorcycle,0.0,No,Metropolitian,13,20002.51970031689
4282,27.0,4.7,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.51970031689
4283,37.0,4.2,Windy,Jam,2,Meal,scooter,2.0,No,Urban,44,20002.51970031689
4284,25.0,4.8,Cloudy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,38,20002.51970031689
4285,22.0,4.5,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.51970031689
4286,32.0,4.8,Sunny,Low,1,Snack,motorcycle,1.0,No,Urban,19,20002.51970031689
4287,20.0,4.7,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.51970031689
4288,36.0,4.1,Windy,Jam,0,Snack,motorcycle,0.0,No,Urban,35,20002.519700310542
4289,29.0,3.5,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,34,20002.519700310542
4290,27.0,4.9,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.519700310542
4291,28.0,4.8,Cloudy,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,45,20002.519700310542
4292,30.0,4.9,Fog,Low,2,Drinks,electric_scooter,1.0,No,Urban,15,20002.519700310542
4293,20.0,4.7,Stormy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,10,20002.519700310542
4294,35.0,4.9,Cloudy,Low,2,Meal,motorcycle,1.0,No,Urban,18,20002.519700310542
4295,37.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,48,20002.519700310542
4296,28.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,20,20002.519700310542
4297,30.0,4.1,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.519700310542
4298,26.0,4.7,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,Urban,16,20002.519700310542
4299,37.0,4.7,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Urban,17,20002.519700310542
4300,37.0,4.6,Cloudy,Low,2,Meal,scooter,0.0,No,Metropolitian,26,20002.519700310542
4301,39.0,4.9,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,24,20002.519700310542
4302,,,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,21,20002.519700310542
4303,26.0,4.6,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,17,20002.51970030318
4304,31.0,4.3,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.51970030318
4305,38.0,4.6,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.51970030318
4306,36.0,5.0,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,36,20002.51970030318
4307,30.0,4.8,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.51970030318
4308,24.0,4.8,Sandstorms,Low,1,Buffet,scooter,0.0,No,Metropolitian,17,20002.51970030318
4309,26.0,4.9,Sandstorms,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.51970030318
4310,33.0,4.6,Sunny,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.51970030318
4311,38.0,4.9,Sandstorms,Medium,2,Snack,electric_scooter,1.0,No,,30,20002.51970030318
4312,21.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Urban,12,20002.51970030318
4313,34.0,5.0,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,28,20002.51970030318
4314,34.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.51970030318
4315,31.0,4.7,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519700269142
4316,27.0,4.3,Fog,Jam,1,Buffet,scooter,0.0,No,Metropolitian,35,20002.519700269142
4317,32.0,5.0,Cloudy,Low,2,Meal,scooter,0.0,No,Urban,19,20002.519700269142
4318,23.0,4.8,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,21,20002.519700269142
4319,23.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.519700269142
4320,24.0,4.8,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,17,20002.519700269142
4321,34.0,4.7,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,25,20002.519700269142
4322,30.0,4.9,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,31,20002.519700269142
4323,30.0,4.8,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,21,20002.519700269142
4324,25.0,4.8,Sandstorms,High,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.519700269142
4325,28.0,4.1,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.519700269142
4326,29.0,4.9,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.51970026517
4327,38.0,3.5,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,34,20002.51970026517
4328,29.0,4.4,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,32,20002.51970026517
4329,39.0,4.2,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.51970026517
4330,35.0,4.8,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,28,20002.51970026517
4331,33.0,4.1,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,33,20002.51970026517
4332,39.0,4.3,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,32,20002.51970026517
4333,22.0,4.6,Windy,Medium,1,Meal,scooter,0.0,No,Metropolitian,18,20002.51970026517
4334,26.0,4.6,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,12,20002.51970026517
4335,31.0,4.6,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.51970026517
4336,33.0,4.4,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.51970026517
4337,23.0,4.8,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,21,20002.51970026517
4338,36.0,4.6,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,19,20002.51970026517
4339,39.0,4.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,26,20002.519700257817
4340,24.0,4.7,Sunny,Low,0,Snack,motorcycle,,No,Metropolitian,16,20002.519700257817
4341,29.0,4.5,Sunny,Medium,1,Buffet,motorcycle,0.0,,Metropolitian,12,20002.519700257817
4342,30.0,4.0,Cloudy,Low,0,Snack,motorcycle,1.0,Yes,Metropolitian,43,20002.519700257817
4343,21.0,4.8,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.519700257817
4344,35.0,4.0,Fog,Low,0,Meal,motorcycle,3.0,No,Metropolitian,44,20002.519700257817
4345,23.0,4.8,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.519700257817
4346,32.0,3.6,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,31,20002.519700257817
4347,22.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,38,20002.519700257817
4348,34.0,4.1,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,35,20002.519700257817
4349,31.0,4.5,Windy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.519700257817
4350,34.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Urban,33,20002.519700257817
4351,29.0,4.7,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.519700257817
4352,30.0,4.5,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,29,20002.519700257133
4353,37.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.519700257133
4354,25.0,5.0,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,16,20002.519700257133
4355,38.0,4.4,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.519700257133
4356,31.0,4.7,Cloudy,Jam,1,Drinks,scooter,2.0,No,Metropolitian,42,20002.519700257133
4357,38.0,5.0,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,29,20002.519700257133
4358,29.0,4.6,Fog,High,0,Meal,motorcycle,1.0,No,Urban,25,20002.519700257133
4359,29.0,4.2,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,37,20002.519700257133
4360,25.0,4.7,Stormy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,21,20002.519700257133
4361,34.0,3.5,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,41,20002.519700257133
4362,36.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.519700257133
4363,38.0,5.0,Stormy,High,1,Drinks,scooter,1.0,No,Metropolitian,33,20002.519700257133
4364,22.0,4.8,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.51970024672
4365,30.0,3.9,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,31,20002.51970024672
4366,23.0,4.5,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.51970024672
4367,35.0,4.9,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,21,20002.51970024672
4368,37.0,4.9,Sunny,High,2,Snack,motorcycle,0.0,No,Metropolitian,23,20002.51970024672
4369,31.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.51970024672
4370,27.0,4.9,Cloudy,High,1,Snack,scooter,0.0,No,Metropolitian,32,20002.51970024672
4371,24.0,4.5,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,19,20002.51970024672
4372,24.0,4.8,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,23,20002.51970024672
4373,32.0,3.6,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,39,20002.51970024672
4374,36.0,4.4,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.519700245524
4375,35.0,3.7,Stormy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,35,20002.519700245524
4376,24.0,4.5,Sandstorms,Low,1,Buffet,scooter,0.0,No,Metropolitian,13,20002.519700245524
4377,26.0,4.7,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.519700245524
4378,25.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.519700245524
4379,33.0,4.5,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519700245524
4380,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,Yes,Urban,40,20002.519700245524
4381,25.0,5.0,Fog,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,42,20002.519700245524
4382,30.0,4.8,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,41,20002.519700242323
4383,36.0,4.0,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,39,20002.519700242323
4384,37.0,4.6,Fog,Medium,2,Snack,electric_scooter,3.0,No,Metropolitian,42,20002.519700242323
4385,29.0,4.6,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,16,20002.519700242323
4386,20.0,4.8,Stormy,Medium,2,Snack,scooter,,No,Metropolitian,16,20002.519700242323
4387,25.0,4.9,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,12,20002.519700242323
4388,31.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Urban,22,20002.519700242323
4389,21.0,4.7,Sunny,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.519700242323
4390,38.0,4.8,Stormy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.519700242323
4391,25.0,4.0,Windy,Low,0,Buffet,motorcycle,1.0,No,,25,20002.519700242323
4392,30.0,5.0,Sunny,Medium,2,Snack,scooter,1.0,No,Urban,21,20002.519700242323
4393,21.0,4.4,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.519700242323
4394,24.0,4.9,Stormy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,10,20002.519700242323
4395,25.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,27,20002.519700242323
4396,37.0,4.8,Stormy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,43,20002.519700198656
4397,29.0,4.6,Stormy,Jam,2,Drinks,motorcycle,0.0,No,Urban,20,20002.519700198656
4398,24.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,21,20002.519700198656
4399,27.0,4.8,Cloudy,Low,2,Meal,motorcycle,0.0,No,Urban,25,20002.519700198656
4400,28.0,4.7,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,35,20002.519700198656
4401,38.0,4.7,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.519700198656
4402,26.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,49,20002.519700198656
4403,31.0,4.6,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,20,20002.519700198656
4404,26.0,4.9,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,23,20002.519700198656
4405,30.0,4.2,Cloudy,Medium,2,Meal,motorcycle,0.0,Yes,Urban,39,20002.519700198656
4406,,,,,3,Snack,scooter,0.0,No,Metropolitian,14,20002.51970019827
4407,38.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.51970019827
4408,26.0,4.6,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Metropolitian,14,20002.51970019827
4409,,,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,33,20002.51970019827
4410,29.0,4.5,Windy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,21,20002.51970019827
4411,39.0,4.0,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,38,20002.51970019827
4412,50.0,6.0,,,3,Drinks,scooter,1.0,No,Metropolitian,20,20002.51970019827
4413,32.0,4.5,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,23,20002.51970019827
4414,36.0,4.6,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,18,20002.51970019827
4415,34.0,4.2,Windy,Jam,1,Snack,scooter,1.0,No,,32,20002.51970019827
4416,33.0,4.6,Fog,Low,1,Snack,scooter,1.0,No,Urban,18,20002.51970019827
4417,33.0,4.7,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Urban,17,20002.51970019827
4418,27.0,4.9,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,29,20002.51970018595
4419,24.0,4.8,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,33,20002.51970018595
4420,39.0,4.5,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,26,20002.51970018595
4421,39.0,4.4,Fog,Jam,1,Snack,scooter,1.0,No,Urban,41,20002.51970018595
4422,37.0,4.6,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Urban,23,20002.51970018595
4423,23.0,4.7,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.51970018595
4424,20.0,4.9,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.51970018595
4425,28.0,4.4,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,31,20002.51970018595
4426,27.0,4.9,Sandstorms,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.51970018595
4427,34.0,4.8,Cloudy,Medium,2,Buffet,scooter,1.0,No,Urban,17,20002.51970018595
4428,22.0,4.9,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,36,20002.51970018595
4429,32.0,4.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,29,20002.519700185923
4430,29.0,4.9,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,13,20002.519700185923
4431,23.0,5.0,Sunny,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.519700185923
4432,21.0,4.8,Fog,Low,2,Buffet,motorcycle,1.0,No,Urban,22,20002.519700185923
4433,24.0,4.4,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,45,20002.519700185923
4434,30.0,3.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,34,20002.519700185923
4435,27.0,4.8,Stormy,Low,1,Drinks,motorcycle,1.0,No,Urban,18,20002.519700185923
4436,28.0,4.8,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,17,20002.519700185923
4437,21.0,4.9,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,18,20002.519700185923
4438,34.0,4.9,Cloudy,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,19,20002.519700185923
4439,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,28,20002.519700185923
4440,26.0,5.0,Cloudy,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,39,20002.519700185923
4441,38.0,3.7,Fog,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,39,20002.519700185923
4442,22.0,4.9,Sandstorms,High,0,Drinks,motorcycle,1.0,No,,20,20002.51970016327
4443,36.0,5.0,Windy,Low,2,Buffet,scooter,1.0,No,Urban,25,20002.51970016327
4444,39.0,4.1,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,34,20002.51970016327
4445,36.0,4.1,Fog,Medium,2,Buffet,motorcycle,2.0,No,Urban,39,20002.51970016327
4446,21.0,4.6,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,20,20002.51970016327
4447,29.0,4.9,Stormy,Jam,2,Snack,scooter,0.0,No,Metropolitian,18,20002.51970016327
4448,31.0,3.9,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,31,20002.51970016327
4449,27.0,5.0,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,18,20002.51970016327
4450,22.0,4.8,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,26,20002.51970016327
4451,23.0,4.5,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Urban,20,20002.51970016327
4452,20.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Urban,30,20002.51970016327
4453,31.0,4.8,Windy,Jam,2,Drinks,scooter,0.0,No,Urban,30,20002.51970016327
4454,36.0,4.4,Sandstorms,Jam,0,Snack,motorcycle,0.0,No,Semi-Urban,48,20002.51970016327
4455,21.0,4.7,Windy,High,0,Meal,motorcycle,1.0,No,Urban,16,20002.51970016327
4456,29.0,4.6,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Urban,35,20002.51970014993
4457,24.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.51970014993
4458,25.0,4.8,Fog,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,30,20002.51970014993
4459,39.0,5.0,Cloudy,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,18,20002.51970014993
4460,22.0,5.0,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,38,20002.51970014993
4461,37.0,4.9,Stormy,High,2,Meal,scooter,0.0,No,,30,20002.51970014993
4462,22.0,4.3,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,39,20002.51970014993
4463,38.0,4.8,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.51970014993
4464,39.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Urban,26,20002.519700149176
4465,20.0,4.8,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,14,20002.519700149176
4466,30.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,42,20002.519700149176
4467,26.0,4.7,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.519700149176
4468,37.0,4.7,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519700149176
4469,39.0,4.1,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,41,20002.519700149176
4470,36.0,5.0,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,27,20002.519700149176
4471,34.0,4.5,Stormy,Low,2,Meal,scooter,0.0,No,Metropolitian,17,20002.519700149176
4472,26.0,4.9,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.519700149176
4473,38.0,4.5,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,27,20002.519700149176
4474,34.0,4.8,Stormy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,27,20002.519700149176
4475,25.0,4.6,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,28,20002.519700149176
4476,33.0,3.9,Cloudy,Low,1,Snack,motorcycle,1.0,No,Urban,32,20002.519700149176
4477,39.0,4.7,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,17,20002.51970014872
4478,37.0,4.6,Windy,Medium,0,Meal,motorcycle,1.0,No,Urban,37,20002.51970014872
4479,24.0,4.5,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.51970014872
4480,32.0,4.9,Sandstorms,High,1,Drinks,scooter,1.0,No,Metropolitian,29,20002.51970014872
4481,33.0,4.7,Sunny,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.51970014872
4482,24.0,4.2,Fog,Jam,1,Drinks,motorcycle,1.0,No,Urban,33,20002.51970014872
4483,22.0,4.3,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.51970014872
4484,24.0,4.8,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,21,20002.51970014872
4485,38.0,4.2,Cloudy,Jam,2,Snack,electric_scooter,2.0,Yes,Metropolitian,47,20002.51970014872
4486,39.0,3.6,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,42,20002.51970014872
4487,20.0,4.5,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,29,20002.51970014872
4488,27.0,4.6,Cloudy,Low,0,Meal,motorcycle,1.0,No,,19,20002.51970014872
4489,32.0,4.3,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.519694542414
4490,25.0,4.5,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.519694542414
4491,38.0,4.7,Windy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,45,20002.519694505758
4492,39.0,5.0,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,21,20002.519694505758
4493,27.0,4.6,Windy,Jam,2,Buffet,electric_scooter,0.0,No,Urban,11,20002.519694505758
4494,27.0,5.0,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.519694505758
4495,27.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,43,20002.51969450305
4496,24.0,4.1,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.51969450305
4497,36.0,4.0,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.51969450305
4498,20.0,4.8,Sunny,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,21,20002.51969449611
4499,26.0,4.4,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.51969449611
4500,23.0,4.6,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,15,20002.51969449163
4501,30.0,5.0,Windy,Medium,0,Drinks,motorcycle,0.0,No,Urban,30,20002.51969449163
4502,28.0,4.5,Cloudy,Low,2,Meal,scooter,1.0,No,Urban,19,20002.51969449163
4503,28.0,4.2,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,42,20002.51969448918
4504,24.0,4.8,Sandstorms,Medium,1,Buffet,scooter,0.0,No,Urban,26,20002.51969448918
